#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100   -100.971   -102.117   -117.903    -19.783    183.545    103.911
      0.200   -102.399    -83.261   -106.901     -8.775    193.579    116.125
      0.300   -102.563    -63.392    -94.585      5.487    203.784    130.206
      0.400   -101.072    -42.524    -80.749     24.327    213.583    146.511
      0.500    -97.372    -20.762    -65.160     49.670    221.665    165.265
      0.600    -90.686      1.580    -47.594     84.049    225.172    186.063
      0.700    -80.004     23.759    -27.964    129.602    218.409    206.522
      0.800    -64.336     44.323     -6.640    183.757    192.866    219.962
      0.900    -43.532     61.233     15.136    232.328    145.335    215.564
      1.000    -19.008     72.996     35.620    258.148     89.919    194.104
      1.100      6.992     79.638     53.638    261.848     42.915    166.272
      1.200     32.755     82.210     68.953    253.407      8.543    140.017
      1.300     57.433     81.860     81.840    240.161    -15.553    117.730
      1.400     80.725     79.459     92.693    225.671    -32.474     99.328
      1.500    102.579     75.608    101.866    211.411    -44.536     84.124
      1.600    123.046     70.717    109.643    197.927    -53.281     71.433
      1.700    142.210     65.068    116.250    185.369    -59.710     60.699
      1.800    160.165     58.858    121.860    173.728    -64.481     51.501
      1.900    176.998     52.232    126.611    162.935    -68.037     43.522
      2.000    192.790     45.296    130.614    152.905    -70.682     36.524
      2.100    207.613     38.131    133.956    143.553    -72.631     30.326
      2.200    221.531     30.797    136.712    134.797    -74.037     24.789
      2.300    234.599     23.345    138.941    126.569    -75.014     19.803
      2.400    246.868     15.812    140.696    118.807    -75.645     15.282
      2.500    258.381      8.230    142.018    111.457    -75.995     11.159
      2.600    269.178      0.625    142.945    104.473    -76.112      7.376
      2.700    279.292     -6.983    143.508     97.814    -76.035      3.890
      2.800    288.755    -14.574    143.735     91.447    -75.793      0.662
      2.900    297.594    -22.134    143.652     85.340    -75.411     -2.339
      3.000    305.835    -29.650    143.278     79.466    -74.907     -5.139
      3.100    313.498    -37.110    142.633     73.803    -74.296     -7.760
      3.200    320.605    -44.505    141.734     68.328    -73.592    -10.221
      3.300    327.172    -51.825    140.596     63.025    -72.803    -12.538
      3.400    333.217    -59.062    139.233     57.876    -71.938    -14.725
      3.500    338.755    -66.209    137.657     52.867    -71.005    -16.795
      3.600    343.797    -73.259    135.879     47.984    -70.007    -18.757
      3.700    348.357    -80.207    133.910     43.215    -68.950    -20.620
      3.800    352.445    -87.046    131.759     38.550    -67.836    -22.394
      3.900    356.072    -93.772    129.436     33.977    -66.669    -24.084
      4.000    359.245   -100.378    126.946     29.489    -65.451    -25.697
      4.100    361.973   -106.859    124.300     25.076    -64.183    -27.239
      4.200    364.264   -113.212    121.502     20.730    -62.866    -28.714
      4.300    366.122   -119.430    118.560     16.444    -61.501    -30.127
      4.400    367.555   -125.510    115.480     12.212    -60.088    -31.481
      4.500    368.567   -131.445    112.267      8.025    -58.626    -32.780
      4.600    369.162   -137.232    108.926      3.880    -57.117    -34.027
      4.700    369.345   -142.866    105.464     -0.232    -55.557    -35.224
      4.800    369.117   -148.341    101.884     -4.315    -53.947    -36.375
      4.900    368.483   -153.653     98.191     -8.375    -52.285    -37.480
      5.000    367.443   -158.796     94.390    -12.417    -50.569    -38.542
      5.100    366.000   -163.764     90.485    -16.447    -48.796    -39.561
      5.200    364.154   -168.552     86.480    -20.469    -46.966    -40.540
      5.300    361.906   -173.154     82.379    -24.490    -45.073    -41.479
      5.400    359.256   -177.563     78.186    -28.514    -43.117    -42.379
      5.500    356.203   -181.774     73.905    -32.546    -41.091    -43.240
      5.600    352.746   -185.778     69.540    -36.591    -38.994    -44.062
      5.700    348.884   -189.569     65.094    -40.656    -36.820    -44.846
      5.800    344.614   -193.138     60.573    -44.744    -34.563    -45.591
      5.900    339.934   -196.477     55.978    -48.863    -32.219    -46.297
      6.000    334.839   -199.577     51.315    -53.018    -29.781    -46.962
      6.100    329.328   -202.428     46.588    -57.214    -27.241    -47.585
      6.200    323.394   -205.020     41.800    -61.459    -24.591    -48.164
      6.300    317.033   -207.340     36.957    -65.759    -21.822    -48.698
      6.400    310.239   -209.378     32.063    -70.122    -18.924    -49.183
      6.500    303.005   -211.118     27.123    -74.554    -15.885    -49.616
      6.600    295.325   -212.547     22.143    -79.064    -12.691    -49.993
      6.700    287.188   -213.648     17.128    -83.662     -9.327    -50.308
      6.800    278.587   -214.403     12.085    -88.356     -5.776    -50.557
      6.900    269.512   -214.793      7.020    -93.156     -2.017    -50.730
      7.000    259.950   -214.795      1.943    -98.074      1.973    -50.820
      7.100    249.891   -214.385     -3.139   -103.121      6.222    -50.805
      7.200    239.319   -213.536     -8.213   -108.311     10.761    -50.677
      7.300    228.221   -212.216    -13.268   -113.656     15.629    -50.422
      7.400    216.579   -210.392    -18.290   -119.172     20.870    -50.022
      7.500    204.377   -208.021    -23.263   -124.876     26.539    -49.449
      7.600    191.594   -205.059    -28.169   -130.783     32.701    -48.670
      7.700    178.209   -201.452    -32.985   -136.910     39.436    -47.644
      7.800    164.200   -197.138    -37.683   -143.273     46.844    -46.317
      7.900    149.542   -192.044    -42.230   -149.886     55.047    -44.616
      8.000    134.210   -186.081    -46.583   -156.755     64.201    -42.447
      8.100    118.179   -179.146    -50.689   -163.877     74.506    -39.679
      8.200    101.424   -171.110    -54.480   -171.220     86.219    -36.135
      8.300     83.927   -161.815    -57.865   -178.712     99.676    -31.561
      8.400     65.682   -151.065    -60.722   -186.193    115.319    -25.589
      8.500     46.705   -138.613    -62.885   -193.334    133.728    -17.679
      8.600     27.064   -124.145    -64.120   -199.485    155.633     -7.015
      8.700      6.923   -107.270    -64.090   -203.338    181.871      7.628
      8.800    -13.359    -87.524    -62.307   -202.308    213.045     28.014
