#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.359    173.992     93.313
      0.002    -98.657   -119.642   -127.593    -28.289    174.065     93.397
      0.003    -98.685   -119.468   -127.500    -28.218    174.137     93.480
      0.004    -98.713   -119.294   -127.406    -28.147    174.210     93.564
      0.005    -98.741   -119.119   -127.313    -28.076    174.282     93.648
      0.006    -98.769   -118.945   -127.219    -28.004    174.355     93.732
      0.007    -98.797   -118.771   -127.125    -27.933    174.428     93.816
      0.008    -98.825   -118.596   -127.031    -27.861    174.500     93.900
      0.009    -98.853   -118.422   -126.938    -27.790    174.573     93.984
      0.010    -98.881   -118.247   -126.844    -27.718    174.646     94.068
      0.011    -98.908   -118.072   -126.749    -27.646    174.718     94.153
      0.012    -98.936   -117.898   -126.655    -27.573    174.791     94.237
      0.013    -98.964   -117.723   -126.561    -27.501    174.864     94.321
      0.014    -98.991   -117.548   -126.467    -27.429    174.937     94.406
      0.015    -99.018   -117.373   -126.372    -27.356    175.009     94.491
      0.016    -99.046   -117.198   -126.278    -27.283    175.082     94.576
      0.017    -99.073   -117.023   -126.183    -27.210    175.155     94.661
      0.018    -99.100   -116.848   -126.088    -27.137    175.228     94.746
      0.019    -99.127   -116.672   -125.993    -27.064    175.301     94.831
      0.020    -99.154   -116.497   -125.899    -26.990    175.374     94.916
      0.021    -99.181   -116.322   -125.804    -26.917    175.447     95.001
      0.022    -99.208   -116.146   -125.709    -26.843    175.520     95.087
      0.023    -99.235   -115.971   -125.613    -26.769    175.593     95.172
      0.024    -99.262   -115.795   -125.518    -26.695    175.666     95.258
      0.025    -99.288   -115.619   -125.423    -26.621    175.739     95.344
      0.026    -99.315   -115.444   -125.328    -26.546    175.812     95.430
      0.027    -99.341   -115.268   -125.232    -26.472    175.885     95.516
      0.028    -99.368   -115.092   -125.137    -26.397    175.958     95.602
      0.029    -99.394   -114.916   -125.041    -26.322    176.031     95.688
      0.030    -99.421   -114.740   -124.945    -26.247    176.104     95.774
      0.031    -99.447   -114.564   -124.849    -26.172    176.177     95.860
      0.032    -99.473   -114.387   -124.753    -26.097    176.251     95.947
      0.033    -99.499   -114.211   -124.657    -26.021    176.324     96.033
      0.034    -99.525   -114.035   -124.561    -25.946    176.397     96.120
      0.035    -99.551   -113.858   -124.465    -25.870    176.470     96.207
      0.036    -99.577   -113.682   -124.369    -25.794    176.544     96.294
      0.037    -99.602   -113.505   -124.273    -25.718    176.617     96.381
      0.038    -99.628   -113.329   -124.176    -25.642    176.690     96.468
      0.039    -99.654   -113.152   -124.080    -25.565    176.764     96.555
      0.040    -99.679   -112.975   -123.983    -25.488    176.837     96.642
      0.041    -99.705   -112.798   -123.886    -25.412    176.911     96.729
      0.042    -99.730   -112.621   -123.790    -25.335    176.984     96.817
      0.043    -99.755   -112.444   -123.693    -25.258    177.058     96.904
      0.044    -99.781   -112.267   -123.596    -25.180    177.131     96.992
      0.045    -99.806   -112.090   -123.499    -25.103    177.205     97.080
      0.046    -99.831   -111.913   -123.402    -25.025    177.278     97.168
      0.047    -99.856   -111.735   -123.304    -24.947    177.352     97.256
      0.048    -99.881   -111.558   -123.207    -24.869    177.425     97.344
      0.049    -99.905   -111.380   -123.110    -24.791    177.499     97.432
      0.050    -99.930   -111.203   -123.012    -24.713    177.573     97.520
      0.051    -99.955   -111.025   -122.915    -24.635    177.646     97.609
      0.052    -99.979   -110.848   -122.817    -24.556    177.720     97.697
      0.053   -100.004   -110.670   -122.719    -24.477    177.794     97.786
      0.054   -100.028   -110.492   -122.621    -24.398    177.867     97.875
      0.055   -100.053   -110.314   -122.524    -24.319    177.941     97.964
      0.056   -100.077   -110.136   -122.426    -24.240    178.015     98.052
      0.057   -100.101   -109.958   -122.327    -24.160    178.088     98.142
      0.058   -100.125   -109.780   -122.229    -24.081    178.162     98.231
      0.059   -100.149   -109.602   -122.131    -24.001    178.236     98.320
      0.060   -100.173   -109.424   -122.033    -23.921    178.310     98.409
      0.061   -100.197   -109.245   -121.934    -23.841    178.384     98.499
      0.062   -100.221   -109.067   -121.836    -23.760    178.458     98.588
      0.063   -100.245   -108.888   -121.737    -23.680    178.532     98.678
      0.064   -100.268   -108.710   -121.638    -23.599    178.605     98.768
      0.065   -100.292   -108.531   -121.539    -23.518    178.679     98.858
      0.066   -100.315   -108.352   -121.441    -23.437    178.753     98.948
      0.067   -100.339   -108.174   -121.342    -23.356    178.827     99.038
      0.068   -100.362   -107.995   -121.243    -23.275    178.901     99.128
      0.069   -100.385   -107.816   -121.143    -23.193    178.975     99.218
      0.070   -100.409   -107.637   -121.044    -23.111    179.049     99.309
      0.071   -100.432   -107.458   -120.945    -23.029    179.123     99.399
      0.072   -100.455   -107.278   -120.845    -22.947    179.197     99.490
      0.073   -100.478   -107.099   -120.746    -22.865    179.272     99.581
      0.074   -100.500   -106.920   -120.646    -22.783    179.346     99.672
      0.075   -100.523   -106.741   -120.546    -22.700    179.420     99.763
      0.076   -100.546   -106.561   -120.447    -22.617    179.494     99.854
      0.077   -100.568   -106.382   -120.347    -22.534    179.568     99.945
      0.078   -100.591   -106.202   -120.247    -22.451    179.642    100.036
      0.079   -100.613   -106.022   -120.147    -22.368    179.716    100.128
      0.080   -100.636   -105.843   -120.046    -22.284    179.791    100.219
      0.081   -100.658   -105.663   -119.946    -22.200    179.865    100.311
      0.082   -100.680   -105.483   -119.846    -22.116    179.939    100.402
      0.083   -100.702   -105.303   -119.745    -22.032    180.013    100.494
      0.084   -100.724   -105.123   -119.645    -21.948    180.088    100.586
      0.085   -100.746   -104.943   -119.544    -21.863    180.162    100.678
      0.086   -100.768   -104.762   -119.443    -21.779    180.236    100.771
      0.087   -100.789   -104.582   -119.343    -21.694    180.311    100.863
      0.088   -100.811   -104.402   -119.242    -21.609    180.385    100.955
      0.089   -100.833   -104.221   -119.141    -21.524    180.459    101.048
      0.090   -100.854   -104.041   -119.040    -21.438    180.534    101.140
      0.091   -100.876   -103.860   -118.938    -21.353    180.608    101.233
      0.092   -100.897   -103.680   -118.837    -21.267    180.683    101.326
      0.093   -100.918   -103.499   -118.736    -21.181    180.757    101.419
      0.094   -100.939   -103.318   -118.634    -21.095    180.831    101.512
      0.095   -100.960   -103.137   -118.533    -21.008    180.906    101.605
      0.096   -100.981   -102.956   -118.431    -20.922    180.980    101.699
      0.097   -101.002   -102.775   -118.329    -20.835    181.055    101.792
