#t              L_tot_x        L_tot_y        L_tot_z        
          0.000       -153.188       -153.907        -87.968
          0.071       -149.651       -149.031        -84.080
          0.143       -148.740       -150.666        -77.873
          0.214       -161.717       -153.371        -82.655
          0.286       -165.839       -151.118        -76.417
          0.357       -170.675       -150.487        -75.273
          0.429       -181.402       -150.631        -75.836
          0.500       -178.039       -164.286        -74.579
          0.571       -169.403       -169.995        -71.407
          0.643       -172.770       -168.141        -63.416
          0.714       -174.809       -176.667        -61.394
          0.786       -181.678       -186.500        -53.540
          0.857       -181.013       -193.446        -61.503
          0.929       -184.710       -194.494        -71.915
          1.000       -201.734       -188.987        -79.514
          1.071       -199.200       -184.116        -89.485
          1.143       -204.697       -186.466        -77.578
          1.214       -213.988       -177.042        -86.323
          1.286       -216.441       -166.086        -72.346
          1.357       -228.198       -168.337        -69.400
          1.429       -206.599       -155.233        -62.293
          1.500       -199.973       -144.346        -75.958
          1.571       -210.276       -161.270        -76.525
          1.643       -207.575       -160.526        -88.880
          1.714       -208.164       -151.021        -94.393
          1.786       -218.928       -158.154        -91.575
          1.857       -220.918       -157.516        -93.849
          1.929       -217.836       -159.014        -85.919
          2.000       -225.977       -167.347        -91.777
          2.071       -230.706       -168.870        -86.835
          2.143       -237.683       -175.654        -84.871
          2.214       -239.702       -170.340        -86.766
          2.286       -240.395       -168.912        -90.659
          2.357       -242.278       -165.858        -85.382
          2.429       -247.742       -169.351        -80.439
          2.500       -243.629       -168.179        -64.662
          2.571       -252.906       -175.777        -67.393
          2.643       -246.358       -173.300        -68.499
          2.714       -242.367       -173.113        -62.500
          2.786       -241.189       -172.332        -55.175
          2.857       -232.311       -167.088        -54.386
          2.929       -238.460       -161.428        -55.945
          3.000       -232.883       -155.231        -57.851
          3.071       -219.774       -150.558        -48.071
          3.143       -215.168       -151.168        -50.822
          3.214       -206.504       -151.204        -51.955
          3.286       -201.527       -160.027        -49.207
          3.357       -196.933       -146.310        -41.378
          3.429       -195.124       -137.426        -33.485
          3.500       -174.930       -134.543        -23.645
          3.571       -145.190       -131.831        -25.031
          3.643       -140.242       -127.657        -28.798
          3.714       -127.502       -128.399        -41.414
          3.786        -93.565       -124.145        -44.995
          3.857        -21.768       -111.766        -70.914
          3.929         78.855       -112.800       -128.799
          4.000        207.723       -110.744       -236.535
          4.071        289.621       -109.289       -303.739
          4.143        280.093       -121.761       -318.155
          4.214        242.427       -107.472       -344.068
          4.286        208.670        -94.861       -350.339
          4.357        212.217        -90.823       -359.036
          4.429        218.041        -72.098       -387.841
          4.500        206.644        -81.684       -389.011
          4.571        186.999        -77.632       -407.667
          4.643        168.475        -72.528       -431.540
          4.714        148.929        -67.655       -450.466
          4.786        143.185        -64.127       -469.093
          4.857        119.356        -61.323       -465.251
          4.929         90.408        -53.654       -470.741
          5.000         99.230        -60.641       -477.150
          5.071        111.132        -63.992       -501.552
