#t              L_tot_x        L_tot_y        L_tot_z        
          0.000      -3909.349       -250.892     -33486.845
          0.071       -770.608       1606.960     -28474.837
          0.143      -3597.759       4852.503     -19964.280
          0.214      -6706.640       2163.848     -32791.221
          0.286      -1060.319      -3385.911     -47715.817
          0.357     -13259.457       -259.761     -35453.841
          0.429      -1993.841      -4516.258     -42356.966
          0.500       2441.502      -1558.715     -35818.367
          0.571       7648.046      -5371.529     -42274.434
          0.643      -8127.568       3810.738     -30245.449
          0.714       2845.376       -699.645     -35077.820
          0.786      14174.499      -4095.416     -39197.594
          0.857       6834.419       -289.539     -31933.515
          0.929      10642.536      -1031.758     -29520.869
          1.000       8811.028      -2654.513     -51894.293
          1.071       3661.559       2629.767     -46090.421
          1.143      12454.651      -2052.383     -49735.604
          1.214      13742.790       -434.015     -46439.048
          1.286      10739.646       5318.922     -41486.916
          1.357      12267.761       1794.506     -51126.790
          1.429      11859.152       -316.480     -60709.327
          1.500      13957.935       -293.893     -54162.998
          1.571      16223.840       1963.463     -42261.875
          1.643      25308.596      -8667.846     -53077.091
          1.714      21222.273      -2839.614     -60319.034
          1.786      24377.187      -8862.713     -50595.799
          1.857      22716.235      -1722.764     -61728.975
          1.929      18058.876       -441.450     -65961.426
          2.000      27568.771      -3402.281     -58532.050
          2.071      24318.619      -2259.617     -60625.697
          2.143      22509.406      -8654.774     -71782.943
          2.214      28226.734       8020.233     -80001.507
          2.286      39293.340       3109.348     -88793.418
          2.357      43794.262       2751.540     -90412.718
          2.429      51954.308      -4110.219     -94535.322
          2.500      56299.194      14330.346     -98288.125
          2.571      52145.536      -1327.147     -95175.044
          2.643      62590.161       -733.317    -122157.554
          2.714      56961.486        721.249     -99627.159
          2.786      82458.903      17920.064    -120685.413
          2.857      52345.773        698.651     -99534.866
          2.929      62537.497      10372.834    -105995.920
          3.000      97028.183       3609.682    -159212.435
          3.071      79398.850     -19652.854    -157220.879
          3.143     127464.859      23897.306    -171188.493
          3.214     135814.514       3160.979    -205523.064
          3.286     138998.320      -4256.519    -219859.873
          3.357     155387.824       7770.852    -222347.324
          3.429     208728.113      25134.608    -260758.372
          3.500     231323.985      16233.280    -301995.945
          3.571     247888.256      32687.672    -292821.473
          3.643     285008.013      18639.614    -369792.745
          3.714     355778.240      81988.332    -320898.009
          3.786     520249.223      66384.326    -586099.175
          3.857     372467.059      56204.985    -486187.188
          3.929     520525.719      82063.155    -568050.992
          4.000    1910912.942     338908.515   -1496369.929
          4.071    1860945.861     324352.741   -1565002.729
          4.143    1907862.434     321202.375   -1614225.655
          4.214    1670868.078     293697.838   -1626551.785
          4.286    1775130.235     281213.361   -1447813.567
          4.357    1622901.516     276597.032   -1448612.109
          4.429    1568739.264     278074.412   -1435915.343
          4.500    1495247.403     224991.023   -1317139.705
          4.571    1392978.832     263361.073   -1346851.865
          4.643    1383515.632     248754.001   -1325492.403
          4.714    1330415.903     231802.438   -1254031.521
          4.786    1238914.079     286319.006   -1296306.528
          4.857    1237864.806     344801.374   -1369172.342
          4.929    1286913.836     274669.912   -1315369.970
          5.000    1277560.866     268517.242   -1288508.691
          5.071    1280800.779     300883.040   -1337505.601
          5.143    1323547.637     284594.906   -1348930.471
          5.214    1016019.491     178142.952    -930262.182
          5.286    1019355.991     189048.924    -942204.802
          5.357    1044808.589     190297.277    -932352.194
          5.429    1257945.300     443719.498   -1390891.085
          5.500    1345609.977     431308.045   -1488170.219
          5.571    1326159.278     424176.022   -1563173.119
          5.643    1367234.093     432794.817   -1604292.041
          5.714    1444358.813     447144.095   -1897181.985
          5.786    1139829.674     253521.455   -1163969.157
          5.857    1137507.998     246923.350   -1198314.882
          5.929    1215052.727     248209.136   -1202524.468
          6.000    1106105.749     237113.894   -1144479.245
          6.071    1077708.481     236471.570   -1109249.564
          6.143    1116875.390     239572.730   -1095406.022
          6.214    1104086.668     216656.265   -1047871.499
          6.286    1037031.123     186245.588    -999715.594
          6.357     976540.820     220939.630   -1016641.608
          6.429    1022580.600     247950.333   -1046570.779
          6.500     967722.973     154247.300    -514358.891
          6.571    1068505.888     195269.644    -647371.376
          6.643     947498.154     219900.320    -971892.150
          6.714    1052473.419     234377.285   -1035576.303
          6.786    1015484.108     208190.834   -1003518.014
