#t         L_tot_x    L_tot_y    L_tot_z    
      0.000     21.581     23.469    -99.170
      0.071     17.034     21.734   -102.369
      0.143     16.486     26.054   -103.309
      0.214     19.221     25.753   -103.296
      0.286     20.082     27.118   -104.937
      0.357     23.427     28.109   -101.901
      0.429     24.199     28.825   -102.432
      0.500     23.191     32.711   -103.615
      0.571     26.242     33.181   -106.144
      0.643     26.086     37.306   -106.279
      0.714     24.152     37.588   -108.022
      0.786     22.119     40.105   -106.775
      0.857     25.475     38.402   -104.364
      0.929     25.228     40.792   -105.132
      1.000     24.848     41.572   -103.163
      1.071     24.938     41.620   -103.977
      1.143     29.595     40.067   -103.063
      1.214     29.624     43.344   -101.533
      1.286     35.248     52.478    -97.038
      1.357     50.437     63.531    -90.775
      1.429     54.274     65.506    -92.140
      1.500     54.398     61.552    -95.715
      1.571     53.755     52.741    -93.352
      1.643     49.010     51.913    -97.854
      1.714     48.655     57.573    -99.981
      1.786     45.677     58.791   -101.739
      1.857     48.057     55.945   -102.119
      1.929     51.765     51.815   -102.557
      2.000     51.088     54.505   -102.083
      2.071     55.102     56.570   -101.899
      2.143     58.541     50.415   -104.298
      2.214     59.963     56.199   -103.172
      2.286     58.358     56.816   -104.418
      2.357     62.286     56.243   -104.850
      2.429     59.969     59.216   -104.035
      2.500     62.507     61.459   -103.062
      2.571     62.181     63.651   -103.474
      2.643     59.841     64.985   -103.276
      2.714     62.901     60.523   -103.505
      2.786     67.607     62.121   -104.231
      2.857     67.785     62.440   -106.642
      2.929     70.244     63.422   -106.599
      3.000     74.423     58.018   -104.833
      3.071     80.189     55.949   -106.168
      3.143     84.714     61.253   -109.461
      3.214     86.072     67.288   -113.058
      3.286     88.598     62.026   -113.194
      3.357     93.984     68.108   -111.772
      3.429    101.702     66.180   -115.522
      3.500    106.003     64.037   -115.139
      3.571    112.881     63.652   -120.034
      3.643    123.494     63.871   -120.860
      3.714    135.346     65.444   -125.266
      3.786    144.045     71.747   -131.915
      3.857    179.368     74.715   -142.812
      3.929    251.201     64.681   -181.599
      4.000    320.174     36.683   -258.858
      4.071    334.778     26.901   -301.614
      4.143    311.889     28.086   -308.285
      4.214    281.181     35.470   -303.746
      4.286    254.319     38.239   -301.735
      4.357    230.246     37.158   -299.123
      4.429    218.657     35.326   -291.745
      4.500    205.007     29.229   -284.717
      4.571    193.935     28.861   -279.707
      4.643    177.751     27.529   -279.854
      4.714    169.872     28.347   -281.852
      4.786    173.025     31.329   -287.451
      4.857    166.282     31.274   -293.124
      4.929    151.606     35.704   -297.420
      5.000    156.902     34.749   -310.648
      5.071    164.807     38.974   -317.149
      5.143    165.602     41.523   -323.152
      5.214    171.790     45.111   -329.052
      5.286    193.103     47.823   -319.803
      5.357    204.014     35.289   -312.509
      5.429    203.975     31.898   -309.274
      5.500    190.170     27.586   -313.649
      5.571    186.072     24.374   -315.710
      5.643    157.921     31.403   -328.324
      5.714    157.402     47.675   -353.552
      5.786    157.842     69.563   -394.906
      5.857    259.963    312.628   -840.077
      5.929    280.376    158.511   -609.178
      6.000    262.180     60.276   -422.476
      6.071    250.466     18.788   -336.978
      6.143    258.980    -33.137   -243.717
      6.214    267.963   -158.656    -40.803
      6.286    345.430     -6.226   -412.774
      6.357    333.155    -28.345   -374.951
      6.429    351.144    -32.093   -355.687
      6.500    331.083    -34.965   -351.470
      6.571    325.033    -38.947   -350.306
      6.643    309.946    -45.411   -350.866
      6.714    308.444    -34.437   -356.344
      6.786    298.385    -36.780   -351.826
      6.857    299.676    -33.100   -349.491
      6.929    298.078    -27.492   -350.512
      7.000    294.970    -17.512   -348.006
      7.071    288.656     -8.928   -353.805
      7.143    300.692    -18.377   -351.337
      7.214    302.528    -16.175   -352.622
      7.286    314.834    -13.844   -356.082
      7.357    312.355    -10.092   -361.025
      7.429    297.476    -10.426   -350.296
      7.500    303.681    -17.529   -348.478
      7.571    312.577    -25.865   -342.308
      7.643    304.300    -25.283   -348.040
      7.714    311.274    -35.313   -344.252
      7.786    319.462    -30.121   -347.365
      7.857    324.852    -32.256   -344.586
      7.929    334.449    -40.505   -343.048
      8.000    330.558    -43.261   -332.814
      8.071    330.923    -46.829   -327.320
      8.143    328.076    -48.474   -324.086
      8.214    330.500    -50.822   -326.097
      8.286    326.770    -50.942   -320.712
      8.357    322.131    -49.570   -321.745
      8.429    322.371    -46.932   -319.084
      8.500    324.175    -45.743   -316.992
      8.571    325.849    -39.290   -313.823
      8.643    324.145    -36.802   -316.489
      8.714    335.005    -42.221   -318.991
      8.786    330.966    -37.683   -315.389
      8.857    330.061    -38.921   -309.148
      8.929    330.901    -33.599   -313.183
      9.000    330.692    -37.631   -311.967
      9.071    330.224    -34.036   -313.777
      9.143    334.726    -29.612   -309.688
      9.214    330.149    -32.420   -312.341
      9.286    336.353    -29.294   -313.133
      9.357    338.911    -25.296   -319.266
      9.429    328.038    -19.187   -321.191
      9.500    327.643    -18.915   -325.600
      9.571    334.607    -10.039   -325.383
      9.643    331.442    -14.133   -314.785
      9.714    330.869    -16.217   -312.978
      9.786    331.494    -15.511   -304.793
      9.857    331.116    -17.792   -299.281
      9.929    329.543    -15.486   -297.711
     10.000    331.977    -16.063   -298.297
     10.071    325.408    -16.962   -291.659
     10.143    326.555    -20.999   -290.718
     10.214    325.964    -18.655   -285.135
     10.286    324.195    -17.522   -283.670
     10.357    336.645    -16.072   -285.819
     10.429    334.477    -15.158   -283.103
     10.500    331.868    -12.253   -285.126
     10.571    345.326    -13.476   -292.157
     10.643    347.267    -12.328   -289.419
     10.714    343.521    -11.092   -286.708
     10.786    348.912    -10.914   -295.906
     10.857    352.231    -16.389   -292.407
     10.929    351.653    -14.259   -292.446
     11.000    341.094     -7.829   -290.368
     11.071    333.590     -2.808   -293.001
     11.143    334.213      0.852   -293.374
     11.214    340.421     -6.183   -292.970
     11.286    339.076     -3.719   -291.237
     11.357    339.729     -2.712   -294.278
