#                   t       L_tot_shell_1       L_tot_shell_2       L_tot_shell_3       L_tot_shell_4       L_tot_shell_5       L_tot_shell_6       L_tot_shell_7       L_tot_shell_8       L_tot_shell_9      L_tot_shell_10      L_tot_shell_11      L_tot_shell_12      L_tot_shell_13      L_tot_shell_14      L_tot_shell_15      L_tot_shell_16      L_tot_shell_17      L_tot_shell_18      L_tot_shell_19      L_tot_shell_20      L_tot_shell_21      L_tot_shell_22      L_tot_shell_23      L_tot_shell_24      L_tot_shell_25      L_tot_shell_26      L_tot_shell_27      L_tot_shell_28      L_tot_shell_29      L_tot_shell_30      L_tot_shell_31      L_tot_shell_32      L_tot_shell_33      L_tot_shell_34      L_tot_shell_35      L_tot_shell_36      L_tot_shell_37      L_tot_shell_38      L_tot_shell_39      L_tot_shell_40      L_tot_shell_41      L_tot_shell_42      L_tot_shell_43      L_tot_shell_44      L_tot_shell_45      L_tot_shell_46      L_tot_shell_47      L_tot_shell_48      L_tot_shell_49      L_tot_shell_50      L_tot_shell_51      L_tot_shell_52      L_tot_shell_53      L_tot_shell_54      L_tot_shell_55      L_tot_shell_56      L_tot_shell_57      L_tot_shell_58      L_tot_shell_59      L_tot_shell_60      L_tot_shell_61      L_tot_shell_62      L_tot_shell_63      L_tot_shell_64      L_tot_shell_65      L_tot_shell_66      L_tot_shell_67      L_tot_shell_68      L_tot_shell_69      L_tot_shell_70      L_tot_shell_71      L_tot_shell_72      L_tot_shell_73      L_tot_shell_74      L_tot_shell_75      L_tot_shell_76      L_tot_shell_77      L_tot_shell_78      L_tot_shell_79      L_tot_shell_80      L_tot_shell_81      L_tot_shell_82      L_tot_shell_83      L_tot_shell_84      L_tot_shell_85      L_tot_shell_86      L_tot_shell_87      L_tot_shell_88      L_tot_shell_89      L_tot_shell_90      L_tot_shell_91      L_tot_shell_92      L_tot_shell_93      L_tot_shell_94      L_tot_shell_95      L_tot_shell_96      L_tot_shell_97      L_tot_shell_98      L_tot_shell_99     L_tot_shell_100
               0.000               0.000               0.000               0.000              20.087              25.691              55.785              45.293             141.885             103.211             171.302             168.434             174.211             643.747             161.472             140.295             364.362             284.704             293.079             249.587             560.998             926.836             981.422             160.295            1277.581             804.670             699.072             264.043            1255.817             591.438             760.089            1771.815            1734.162            2560.285            4106.698            2716.383            3765.378             742.411            3373.248            3409.312            9685.565            6196.216            6107.543            8678.704            5095.290            8726.885           18235.954            8968.605           15547.521            4671.747           13467.426            5644.489            4562.230            6140.176           11114.928            7630.499            9261.536            9967.910            1995.731            2211.452            6899.570            3864.225            3085.485            7032.613            3241.457            7325.333            3576.793            4448.408            1117.051            6788.744             789.931            1964.986            3280.929            5101.491            3343.293            4748.374            2003.748            2462.795            5861.106            3078.873            2825.490            3289.976            3766.079            5236.150            2371.412            5827.511            1830.335            4566.744            1809.927            1946.561            2611.510            1158.370            4518.540             850.074             641.318            1160.923            2632.349            2152.827            6883.606            4113.738            2601.313
               0.571               0.000               0.000              75.364              38.886             102.663             103.363              64.378             306.289             452.064             296.462             251.657             546.633             684.170             615.329            1281.161            2895.050            1204.861            1865.473            1335.760            2279.037            6411.140            2433.611            6265.128            4733.280            3515.897            2124.628           11837.499            5423.108           12115.521            7926.424            1629.236            6827.954            7350.311            3081.372            5497.670            3031.248            1780.988            7734.443            5109.344            6101.118            5522.170            5380.891            5650.129            1233.009            3097.654            1841.862            5551.843            2462.752            5402.782            2982.849            3157.559            3847.501            1883.283            3300.513            4474.220            6334.648            2906.427            2422.242            1325.601            2181.754            6438.781            1662.898            2237.723            1410.510            3877.685            2719.261            2953.801            2586.609            2265.346            3280.801            2503.626            1523.947            1856.339            1990.951            1658.547            2740.347            3801.598            3199.207            5650.910            1555.947            2086.121            1681.982            1920.528            2933.192            3373.571            1018.135            2647.645            3258.378            1048.739            1419.919            2755.756             768.713            2579.432            2007.011            2451.604             991.579            3483.489            2443.511            1682.306            2589.563
               1.143               0.000             108.933              90.477             216.934             830.407             929.089            1099.601            2181.233            2613.830            5490.703            3009.407           10952.200            5829.389            5718.406            4190.305            3923.767            5154.741            6126.898            6877.035            1130.978            4226.777            6408.268            2949.259            3245.833            6871.419            2816.869            2829.299            1380.371            2752.421            2653.083            2643.421            3857.027            4105.645            1175.464            2067.463            3141.150             534.505            2981.293            2080.211            1935.490            3746.507            2300.967            2475.757            1276.807            2481.876            2415.612            4253.977            2034.263            1585.760            3400.635            2435.345            2050.465            1577.455            2061.984            2331.825            1977.592            3371.011            2158.512            1871.816            1797.746            1520.878            3921.046            1601.266            1528.056            3698.652            1837.267            2074.911             968.442            3267.718            1781.326            3134.525            1302.434            1065.734            2927.396            2446.415             991.436            1837.123            4152.323            3683.509            2631.308            1321.648            1967.170            1989.821            2395.878            2687.283            5098.203            1861.568            2203.261             797.290            1515.743            1191.753            1554.334            3171.670            3631.394            3374.081            2716.683            1603.301            2002.538             989.419            2997.985
               1.714               6.836              90.162             108.871             137.623            1246.172            1801.082            1155.614            1457.626            1678.736            3983.725            1762.145            4533.751            8044.744            5445.845            4861.409            2052.573            1795.609            7547.578            2154.634            4110.951            2218.241            4528.063            3748.463            1714.010            4782.947            3038.226            3042.852            2248.468            1204.268            2993.830            2577.324            3993.098            3218.373            2396.697            1677.612            4378.762            1260.164            2016.580            2359.808            1847.111            2098.695            2930.469            3678.170            2449.961            1220.220            1149.190            1962.583            2277.049            1472.675            3759.323            4032.429            1562.757            1761.933            3926.445            1590.014            3211.000            1268.747            3583.570            3028.586            2394.529            1873.626            1938.414            2800.866             575.631            1938.839            2429.787            1053.654             873.887            3942.644            2425.612            1940.609            3580.295            3548.200            2833.052            2036.465            1697.348            1705.161            2556.414            2161.803            3885.211            5184.974            4228.987             932.725            5656.668            3834.340            2431.788            4903.665            2005.933            1792.610            5873.925            1974.723            2498.328             811.173            2621.960            1987.948            1688.003            2285.892            4005.967            2398.157            2758.282
               2.286              23.306             117.628             342.336             385.913            1005.861             816.753            2400.837            4657.605            4007.791            2574.493            2579.709            1281.917             499.318            3831.699            2326.486            2451.436            4168.940            2301.834            3625.013            2296.041            3059.431            4543.768            2476.772            3379.513             936.720            3356.665            1997.856            4257.178            3162.486            4162.950            3757.082            3341.039            2865.651            2180.494            1014.286            1115.224            3824.755            2355.559            4790.690            3421.744            2030.840            1601.647            3120.177            2765.573            2056.073            2550.406            1694.551            3207.865            1819.760            2486.957            2010.457            1736.338            2270.366             888.885            3481.458            3806.468            2319.149            2691.639            2324.467            2107.525            2839.330            3299.496            3189.213            4943.036            2722.217             809.130            6830.073            1946.445            3196.113            3265.273            3294.518            3019.698            1965.091            1118.340            1994.886            5010.360            3858.581            2931.467            3543.420            3977.174            4546.624            4329.936            2142.882            1825.916            4369.097            2361.773            6767.053            1256.933            2895.501            3516.899            2576.407            4388.500            2510.920            3657.673            1887.274            2648.663            2529.595            2927.967            1407.304            3094.472
               2.857              19.332             108.517             348.007             381.387             785.076            2327.610            1020.662            3938.879            1644.023            1506.373            3952.785            1275.594            1988.114            2786.216             520.010            2401.459            1468.681             931.826            2083.254            4748.570            3461.799            4847.147            5172.785            2679.222            5095.216            1752.052            3854.644            2488.363            1631.584            3454.746            1575.613            2998.891            3376.065            1486.633            2685.406            3500.744            4140.468            5014.975            2553.424            5196.120            2112.824            3225.526            4233.676            4021.770            5467.531            3333.560            1211.789            3802.985            1714.113            4298.440            2126.255            1359.780            1105.326            8599.099            3963.015            2550.360            5157.540            6407.415            3108.511            1890.406            3326.090            2008.329            3005.156            7154.120            1576.314            5616.678            4901.479            2541.828            4913.531            2492.597            3245.503            2634.030            4263.164            3531.605            2683.903            4781.832            4082.534            5241.126            2361.598            3799.409            3566.633            3148.900             996.007            4123.282            2002.633            1173.034            4998.762            3643.923            2190.307             414.169             630.231            3771.357            2052.055            2760.353            2568.170            2857.979            2411.788             259.866            2258.410            2944.239
               3.429               3.844              87.785             407.916             550.336            1208.850            1667.749            3559.685            1853.709            1387.139            3705.601            2169.869            3056.044            1668.502            3128.447            1485.610            3571.996            1874.889            2476.426            2889.752            1242.127            5785.679            3199.449            2780.097             448.839            3000.504            3731.235            6561.101             974.144            8891.940            1753.919            2065.743            3557.620            6724.522            5305.328            1915.719            4031.177            3463.081            3085.364            5685.467            5079.750            3145.900            8287.746            3142.653            4537.635            3633.908            4069.545            5851.433            4381.142            2293.190            4689.373            2569.490            3598.971            4859.762            2860.986            3616.354            6218.377            6071.927            3119.219            1921.169            2757.302            2954.906            5048.868            3113.439            4945.313            3301.523            5767.568            3436.486            7958.101            3393.243            1481.729            1381.828            3039.985            2842.442            2460.603            2172.786            2139.329             627.227            4942.817            2254.093            3609.389            4539.711            5037.451            2026.454            1488.087            4467.128            3323.669            1397.375            1492.609            3073.232            2940.933            3050.869            2636.922             950.553            1681.612            3378.122            2980.192            1464.439            2316.610            2304.644            1805.396
               4.000             199.553            2355.203            4240.818            3408.088            7139.379            6660.187            5535.322            3147.982            1769.433            2715.457            4026.315            5014.702            1519.615            5667.078            3944.442            7639.118            6439.190            2258.872            4485.878            6321.218            4956.443            4694.465            3277.637            7139.368            4060.359            6809.008            4461.519            7961.214            4693.964            7387.408            7370.971            4299.450            4485.906            4394.179            8103.779            6340.108            1714.132            5118.331            1290.037            8221.603            2861.884           10088.862            5151.817            7077.321            6007.865            8661.999            4713.561            5374.855           15567.152            2606.016            3859.423            1219.791            8035.685            5524.263            3397.373            4135.932            6785.771            6830.517            7749.725            2915.679            6524.323            2230.262            3906.758            3017.326            6903.135            2409.301            1768.507            5775.044            7333.297            2368.730            7770.563            1557.826            4917.614            4388.752            2190.836            4370.277             949.210            3472.311            2770.433            2773.538            2046.433            3347.159            5744.528            2682.193            1301.602            2921.432            3168.497            3041.890            4327.728            4295.780            3779.576            2266.652            1366.981            2620.868            2307.167            5555.657            2183.642            3885.849            1832.728            3094.145
               4.571              29.238             124.920             322.954             679.315            2227.123            5914.585           11391.562           10479.726            8091.850           11509.170           11451.413            9629.519           15731.831           12600.686           15885.237           12496.279           14128.912           17244.928           12871.533           10907.423           15965.181           16712.996           10730.331           10162.328           10493.817           10071.709            5181.246            4193.302            6280.426            7265.539            3794.177            3713.433            2318.430            7130.386            6087.908            5362.475            5930.995            4454.691            6929.254            7069.974            3672.209            6445.059           10346.360            5125.146            6592.642            8015.451            5949.639            7902.066           10783.416            4680.016            7657.856            5978.289            5920.512            7355.110             929.380            7353.973            9472.964            7020.613            3796.991            9009.309            5927.143            6972.531            8116.203            4595.902            4410.320            1487.378            2619.921            5782.219            3121.381            1460.030            3289.561            1863.081            8437.773            4231.703            3619.577            3074.281            2011.662            4696.346            5977.601            4202.028            4929.070            4252.345            4568.326            2553.181            4716.824            3390.346            2842.578            4262.345            2804.208            2978.228            3110.001            1946.496            2935.404            3450.628            4740.379            3615.235            2523.115            2834.414            2085.236            6225.971
               5.143               2.900              88.851             307.800             809.126            2365.563            6505.129            9915.606           16471.703           13702.643           12913.364           14340.397           14751.621           13282.015            9888.592           14293.797           13172.896           12190.898           21077.391           16462.634           19883.772           18960.195           15740.029           27085.448           16673.629           19889.071           17960.738           23512.588           17293.196           26049.599           21922.281           16842.461           12955.318           10615.941           11926.167            7616.385            8517.829            4972.476            3580.566            5445.795            5920.169            4671.047            1991.525            6336.811            8148.305            6162.952            7166.706            8160.247            2597.575            5903.684            8671.883            7692.283            8614.764            5244.346            6923.635            5770.720            6517.859            6739.014            2764.467            5196.706            5765.946            6788.222            2651.389            4770.274            4486.305            5122.388            5194.729            5159.373            5193.898            3467.997            5071.923            3952.681            4307.989            5301.954            2128.224            7651.231            4876.541            2403.070            3802.615            2679.039            3702.269            3262.721            3259.046            4238.190            3644.522            1878.823            1776.137            3108.569            2488.171            2169.386            2573.552            4841.003            2095.989            1602.036            4383.154            4097.224            4714.225            4476.921            4834.087            1694.132            3361.102
