#t                 L_x               L_y               L_z               L_mag             
             0.000       1593809.164        824582.879      -1013420.522       2060870.139
             0.571       1939363.599        766992.297      -1513848.157       2577041.831
             1.143       1245741.194        270894.201      -1559238.298       2014070.223
             1.714        432443.799         87544.949       -777621.056        894072.851
             2.286        155350.384         57293.267       -339346.334        377587.334
             2.857         36402.470         43484.224       -108675.391        122582.047
             3.429           822.785          5168.160         -6948.759          8698.972
             4.000        -59729.966       -101819.319        177228.325        212943.001
             4.571        -33823.783         13649.044         -1101.810         36490.529
             5.143         91833.031         61399.832       -152149.816        188023.433
             5.714        252103.004         21350.761       -222477.814        336909.717
             6.286        176500.238         44577.357       -175675.999        252985.239
             6.857         87902.653         52937.785        -97333.478        141432.285
             7.429         96315.080          8957.569       -102424.391        140881.470
             8.000        138540.360        -14985.426       -151737.500        206015.202
             8.571         96394.743         19718.985        -95597.733        137184.953
             9.143         19727.035         -7812.423        -26124.050         33654.953
             9.714         55348.680          3765.864        -58293.879         80472.570
            10.286         39024.591         19144.367        -28839.528         52164.585
            10.857         19657.182          9735.344        -13911.589         25975.258
